name,lng,lat
United States Air Force Academy,,
Western State Colorado University,-106.91971,38.547421
Albertus Magnus College,-72.923848,41.332519
Bais Binyomin Academy,-74.078981,41.12264
Lincoln College of New England-Southington,-72.920217,41.632345
University of Bridgeport,-73.189352,41.165587
Central Connecticut State University,-72.770094,41.690258
Charter Oak State College,-72.767972,41.688246
Connecticut College,-72.107321,41.379833
University of Connecticut,-72.249948,41.809098
Goodwin College,-72.64032,41.742977
Eastern Connecticut State University,-72.218753,41.721673
Fairfield University,-73.25778,41.160732
Rensselaer at Hartford,-72.673916,41.773462
Hartford Seminary,-72.707766,41.769861
University of Hartford,-72.714965,41.796485
Holy Apostles College and Seminary,-72.647853,41.60682
Mitchell College,-72.09523,41.328013
University of New Haven,-72.961472,41.291314
Paier College of Art Inc,-72.935048,41.347714
Post University,-73.080525,41.535334
Quinnipiac University,-72.894117,41.418915
Sacred Heart University,-73.24461,41.221548
University of Saint Joseph,-72.730489,41.783028
St Vincent's College,-73.201106,41.201198
Southern Connecticut State University,-72.948806,41.331852
Tri-State College of Acupuncture,-74.002085,40.739862
Trinity College,-72.688684,41.746746
United States Coast Guard Academy,-72.098839,41.370261
Wesleyan University,-72.656755,41.55678
Western Connecticut State University,-73.444264,41.400365
Yale University,-72.926688,41.311158
Delaware Technical Community College-Terry,-75.56012,39.198371
Delaware State University,-75.54053,39.187173
University of Delaware,-75.752822,39.679577
Goldey-Beacom College,-75.694018,39.742464
Wesley College,-75.527716,39.163182
Wilmington University,-75.586998,39.682299
American University,-77.090106,38.937802
Catholic University of America,-76.998961,38.935796
University of the District of Columbia,-77.066247,38.943819
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,-76.998806,38.931427
Gallaudet University,-76.993675,38.907371
George Washington University,-77.047871,38.89865
Georgetown University,-77.073463,38.908809
Howard University,-77.019478,38.920739
Strayer University-District of Columbia,-77.034349,38.904851
Trinity Washington University,-77.004261,38.927398
Wesley Theological Seminary,-77.08996,38.939606
The Art Institute of Fort Lauderdale,-80.123514,26.101246
The Baptist College of Florida,-85.503931,30.962708
Barry University,-80.196136,25.878865
Bethune-Cookman University,-81.031429,29.210193
Lynn University,-80.123851,26.382777
Eastern Florida State College,-80.75813,28.384791
Broward College,-80.14183,26.119422
Carlos Albizu University-Miami,-80.355002,25.795162
College of Central Florida,-82.175692,29.166079
Johnson University Florida,-81.362512,28.301869
University of Central Florida,-81.198805,28.60106
Chipola College,-85.231946,30.790647
Daytona State College,-81.051266,29.202286
South University-West Palm Beach,-80.19969,26.69165
Eckerd College,-82.685992,27.718996
Florida SouthWestern State College,-81.887375,26.554737
Edward Waters College,-81.684817,30.34513
Embry-Riddle Aeronautical University-Daytona Beach,-81.0495,29.189244
Florida Agricultural and Mechanical University,-84.290226,30.428504
Florida Atlantic University,-80.102978,26.372421
Florida State College at Jacksonville,-81.659901,30.334918
Flagler College-St Augustine,-81.314887,29.892733
Florida College,-82.383446,28.034911
Adventist University of Health Sciences,-81.367687,28.576142
Florida Institute of Technology,-80.624628,28.064503
Florida International University,-80.377591,25.757111
Florida Keys Community College,-81.74446,24.582748
Florida Memorial University,-80.270672,25.917854
Florida Southern College,-81.945791,28.031507
Florida State University,-84.291921,30.440756
Florida Technical College,-81.196091,28.57316
University of Florida,-82.347911,29.64629
Full Sail University,-81.301286,28.596546
Gulf Coast State College,-85.727918,30.185542
Key College,,
Hobe Sound Bible College,-80.132413,27.066473
Indian River State College,-80.35785,27.423121
Sanford-Brown College-Tampa,-82.504615,27.953202
AI Miami International University of Art and Design,-80.18839,25.790008
Jacksonville University,-81.60706,30.350349
Keiser University-Ft Lauderdale,-80.163959,26.185869
Florida Gateway College,-82.5679,30.175298
Lake-Sumter State College,-81.797731,28.830237
Luther Rice College & Seminary,-84.123648,33.697984
State College of Florida-Manatee-Sarasota,-82.591739,27.436066
Trinity International University-Florida,-80.257156,26.099656
Miami Dade College,-80.190856,25.777717
University of Miami,-80.278662,25.72126
North Florida Community College,-83.420732,30.473841
University of North Florida,-81.507853,30.270917
Nova Southeastern University,-80.24248,26.079337
Northwest Florida State College,-86.475467,30.537148
Palm Beach Atlantic University,-80.05247,26.7044
Palm Beach State College,-80.08653,26.61256
Pasco-Hernando State College,-82.646727,28.2751
Pensacola State College,-87.200622,30.480779
Polk State College,-81.712932,28.030775
Saint Vincent de Paul Regional Seminary,-80.125707,26.51582
Ringling College of Art and Design,-82.548598,27.35963
Rollins College,-81.348716,28.591992
Saint Leo University,-82.257801,28.336776
St Petersburg College,-82.717331,27.90242
Santa Fe College,-82.433958,29.680698
Argosy University-Sarasota,-82.465363,27.351394
Seminole State College of Florida,-81.305606,28.74475
Saint John Vianney College Seminary,-80.337411,25.742579
Saint Johns River State College,-81.681387,29.647516
South Florida State College,-81.508387,27.569553
University of South Florida-Main Campus,-82.413232,28.061458
St Thomas University,-80.256265,25.920915
Stetson University,-81.300746,29.035475
Southeastern University,-81.918997,28.031864
Tallahassee Community College,-84.339,30.443866
Talmudic College of Florida,-80.136293,25.811996
Altierus Career College-Tampa,-82.497616,27.996582
The University of Tampa,-82.465582,27.947225
Trinity Baptist College,-81.79626,30.311171
Trinity College of Florida,-82.678318,28.194732
Valencia College,-81.471466,28.520898
Warner University,-81.599972,27.825751
Webber International University,-81.532315,27.838778
Rasmussen College-Florida,-82.197343,29.140099
The University of West Florida,-87.218511,30.549076
Abraham Baldwin Agricultural College,-83.528281,31.481889
Agnes Scott College,-84.295459,33.769268
Albany State University,-84.141825,31.56928
Andrew College,-84.795021,31.772321
Armstrong State University,-81.160409,31.978109
The Art Institute of Atlanta,-84.355252,33.936024
Point University,-85.184931,32.87912
Atlanta Metropolitan State College,-84.404659,33.70893
Atlanta's John Marshall Law School,-84.38777,33.793388
Clark Atlanta University,-84.412584,33.747628
Bainbridge State College,-84.535049,30.899474
Berry College,-85.189202,34.290414
Beulah Heights University,-84.358086,33.737022
Brenau University,-83.821513,34.303117
Brewton-Parker College,-82.586136,32.185718
College of Coastal Georgia,-81.485973,31.182745
Carver Bible College,-84.515547,33.723362
Clayton  State University,-84.328174,33.594079
Columbia Theological Seminary,-84.282978,33.764108
Columbus State University,-84.940796,32.501556
Covenant College,-85.375066,34.965161
Dalton State College,-85.00289,34.77496
South University-Savannah,-81.105435,31.999571
East Georgia State College,-82.308486,32.59577
Emmanuel College,-83.146825,34.282617
Emory University,-84.325512,33.790183
Georgia Highlands College,-85.207356,34.169791
Fort Valley State University,-83.895548,32.538163
Georgia Institute of Technology-Main Campus,-84.394832,33.77242
Georgia Southwestern State University,-84.217738,32.054662
Georgia College & State University,-83.231962,33.082787
Georgia Southern University,-81.782232,32.428808
Georgia State University,-84.38667,33.7527
University of Georgia,-83.374039,33.956262
Gordon State College,-84.152548,33.045208
Interdenominational Theological Center,-84.409207,33.752338
LaGrange College,-85.041394,33.039713
Life University,-84.514156,33.932104
Herzing University-Atlanta,-84.362635,33.846627
Mercer University,-83.648295,32.831787
Morehouse College,-84.415156,33.74793
Morehouse School of Medicine,-84.41186,33.742888
Oglethorpe University,-84.334756,33.875939
Paine College,-81.993225,33.469545
Piedmont College,-83.543216,34.56663
Reinhardt University,-84.554657,34.318874
Savannah College of Art and Design,-81.093849,32.072963
